0,4,5,13,16,22,25,31,32,34,49,53,68,71,102.5,102.5,103,107.5,110,115,128,130,132,136,138,146,153,171,175,178
0,66949,78975,1.4481e+05,1.6268e+05,1.9081e+05,2.0148e+05,2.1349e+05,2.1386e+05,2.1365e+05,2.0854e+05,2.0931e+05,2.1934e+05,2.1872e+05,2.137e+05,2.1265e+05,2.1263e+05,2.3964e+05,2.4435e+05,2.5433e+05,2.6275e+05,2.1688e+05,2.6271e+05,2.6215e+05,2.616e+05,2.5935e+05,2.4812e+05,1.8038e+05,1.581e+05,1.3951e+05
66949,0,17920,1.029e+05,1.2368e+05,1.5639e+05,1.6866e+05,1.827e+05,1.8318e+05,1.8295e+05,1.7999e+05,1.829e+05,1.9772e+05,1.9738e+05,1.8982e+05,2.01e+05,1.9883e+05,2.21e+05,2.2614e+05,2.3699e+05,2.4439e+05,1.9586e+05,2.4307e+05,2.4164e+05,2.4081e+05,2.3742e+05,2.2398e+05,1.5087e+05,1.326e+05,1.2536e+05
78975,17920,0,91676,1.1336e+05,1.4735e+05,1.6e+05,1.7469e+05,1.752e+05,1.7495e+05,1.7287e+05,1.762e+05,1.9232e+05,1.9211e+05,1.8386e+05,1.9859e+05,1.9629e+05,2.1688e+05,2.2211e+05,2.3302e+05,2.3987e+05,1.9074e+05,2.3828e+05,2.3664e+05,2.3562e+05,2.3185e+05,2.1789e+05,1.4392e+05,1.2836e+05,1.2425e+05
1.4481e+05,1.029e+05,91676,0,34538,79922,96785,1.1447e+05,1.1497e+05,1.1524e+05,1.2582e+05,1.3252e+05,1.6192e+05,1.6248e+05,1.4828e+05,1.8912e+05,1.8642e+05,1.9784e+05,2.0337e+05,2.1365e+05,2.122e+05,1.6259e+05,2.0842e+05,2.0401e+05,2.0173e+05,1.9366e+05,1.7793e+05,1.128e+05,1.1973e+05,1.2884e+05
1.6268e+05,1.2368e+05,1.1336e+05,34538,0,53990,73403,92962,93687,94413,1.1273e+05,1.2157e+05,1.5521e+05,1.5569e+05,1.401e+05,1.8937e+05,1.8685e+05,1.9561e+05,2.01e+05,2.1073e+05,2.0552e+05,1.5634e+05,2.0033e+05,1.9454e+05,1.916e+05,1.8143e+05,1.6575e+05,1.0947e+05,1.2222e+05,1.3521e+05
1.9081e+05,1.5639e+05,1.4735e+05,79922,53990,0,26135,53328,54982,57940,99448,1.1067e+05,1.5025e+05,1.513e+05,1.3215e+05,1.9445e+05,1.9213e+05,1.9646e+05,2.0119e+05,2.0893e+05,1.9819e+05,1.5323e+05,1.9085e+05,1.825e+05,1.7805e+05,1.6185e+05,1.4673e+05,1.1594e+05,1.372e+05,1.5362e+05
2.0148e+05,1.6866e+05,1.6e+05,96785,73403,26135,0,35090,37892,43688,1.0004e+05,1.1137e+05,1.5169e+05,1.5335e+05,1.3235e+05,1.9806e+05,1.9567e+05,1.9815e+05,2.0252e+05,2.0895e+05,1.9686e+05,1.557e+05,1.8912e+05,1.8016e+05,1.7518e+05,1.5718e+05,1.4082e+05,1.2411e+05,1.4716e+05,1.6377e+05
2.1349e+05,1.827e+05,1.7469e+05,1.1447e+05,92962,53328,35090,0,7608.5,22261,95845,1.078e+05,1.5374e+05,1.5601e+05,1.2954e+05,1.9971e+05,1.9709e+05,1.9554e+05,1.9931e+05,2.0395e+05,1.9078e+05,1.5821e+05,1.8309e+05,1.7351e+05,1.6843e+05,1.5023e+05,1.3495e+05,1.3359e+05,1.5899e+05,1.7552e+05
2.1386e+05,1.8318e+05,1.752e+05,1.1497e+05,93687,54982,37892,7608.5,0,16144,92720,1.0501e+05,1.5293e+05,1.5527e+05,1.2758e+05,1.9851e+05,1.9584e+05,1.9358e+05,1.9729e+05,2.0178e+05,1.8854e+05,1.5732e+05,1.808e+05,1.711e+05,1.6597e+05,1.4813e+05,1.3342e+05,1.3342e+05,1.5894e+05,1.7548e+05
2.1365e+05,1.8295e+05,1.7495e+05,1.1524e+05,94413,57940,43688,22261,16144,0,84528,98114,1.5023e+05,1.5281e+05,1.2274e+05,1.9514e+05,1.9234e+05,1.8838e+05,1.92e+05,1.9642e+05,1.8307e+05,1.546e+05,1.7526e+05,1.654e+05,1.6013e+05,1.4344e+05,1.298e+05,1.3245e+05,1.5781e+05,1.7422e+05
2.0854e+05,1.7999e+05,1.7287e+05,1.2582e+05,1.1273e+05,99448,1.0004e+05,95845,92720,84528,0,30490,1.0666e+05,1.129e+05,71635,1.5479e+05,1.5035e+05,1.2866e+05,1.3192e+05,1.3945e+05,1.292e+05,1.1803e+05,1.2253e+05,1.1646e+05,1.1349e+05,1.1164e+05,1.0792e+05,1.2999e+05,1.5029e+05,1.6492e+05
2.0931e+05,1.829e+05,1.762e+05,1.3252e+05,1.2157e+05,1.1067e+05,1.1137e+05,1.078e+05,1.0501e+05,98114,30490,0,86926,94055,48539,1.427e+05,1.3788e+05,1.1242e+05,1.1539e+05,1.2158e+05,1.1441e+05,1.0026e+05,1.0893e+05,1.0314e+05,1.0011e+05,1.0106e+05,1.0355e+05,1.3284e+05,1.5251e+05,1.6642e+05
2.1934e+05,1.9772e+05,1.9232e+05,1.6192e+05,1.5521e+05,1.5025e+05,1.5169e+05,1.5374e+05,1.5293e+05,1.5023e+05,1.0666e+05,86926,0,24261,54799,1.1883e+05,1.1347e+05,86521,91103,1.0269e+05,1.1359e+05,47022,1.1311e+05,1.1149e+05,1.1017e+05,1.0967e+05,1.1859e+05,1.5781e+05,1.7384e+05,1.8605e+05
2.1872e+05,1.9738e+05,1.9211e+05,1.6248e+05,1.5569e+05,1.513e+05,1.5335e+05,1.5601e+05,1.5527e+05,1.5281e+05,1.129e+05,94055,24261,0,65530,1.14e+05,1.088e+05,91450,97249,1.1027e+05,1.224e+05,29851,1.2346e+05,1.2186e+05,1.203e+05,1.192e+05,1.2563e+05,1.5804e+05,1.7375e+05,1.8602e+05
2.137e+05,1.8982e+05,1.8386e+05,1.4828e+05,1.401e+05,1.3215e+05,1.3235e+05,1.2954e+05,1.2758e+05,1.2274e+05,71635,48539,54799,65530,0,1.3017e+05,1.2491e+05,94685,97304,1.0274e+05,1.0389e+05,76597,99590,94198,91430,95322,1.0517e+05,1.4342e+05,1.6161e+05,1.7446e+05
2.1265e+05,2.01e+05,1.9859e+05,1.8912e+05,1.8937e+05,1.9445e+05,1.9806e+05,1.9971e+05,1.9851e+05,1.9514e+05,1.5479e+05,1.427e+05,1.1883e+05,1.14e+05,1.3017e+05,0,19183,1.2756e+05,1.3581e+05,1.521e+05,1.6822e+05,1.0538e+05,1.6944e+05,1.7073e+05,1.7135e+05,1.7802e+05,1.801e+05,1.6455e+05,1.5658e+05,1.4947e+05
2.1263e+05,1.9883e+05,1.9629e+05,1.8642e+05,1.8685e+05,1.9213e+05,1.9567e+05,1.9709e+05,1.9584e+05,1.9234e+05,1.5035e+05,1.3788e+05,1.1347e+05,1.088e+05,1.2491e+05,19183,0,1.2043e+05,1.2902e+05,1.4601e+05,1.63e+05,1.0029e+05,1.6426e+05,1.658e+05,1.666e+05,1.74e+05,1.764e+05,1.623e+05,1.5471e+05,1.4977e+05
2.3964e+05,2.21e+05,2.1688e+05,1.9784e+05,1.9561e+05,1.9646e+05,1.9815e+05,1.9554e+05,1.9358e+05,1.8838e+05,1.2866e+05,1.1242e+05,86521,91450,94685,1.2756e+05,1.2043e+05,0,16614,47068,82380,99510,86092,93685,98858,1.2584e+05,1.4604e+05,2.0369e+05,2.1335e+05,2.1974e+05
2.4435e+05,2.2614e+05,2.2211e+05,2.0337e+05,2.01e+05,2.0119e+05,2.0252e+05,1.9931e+05,1.9729e+05,1.92e+05,1.3192e+05,1.1539e+05,91103,97249,97304,1.3581e+05,1.2902e+05,16614,0,34057,73612,1.07e+05,78822,87396,92896,1.223e+05,1.4519e+05,2.0983e+05,2.1962e+05,2.263e+05
2.5433e+05,2.3699e+05,2.3302e+05,2.1365e+05,2.1073e+05,2.0893e+05,2.0895e+05,2.0395e+05,2.0178e+05,1.9642e+05,1.3945e+05,1.2158e+05,1.0269e+05,1.1027e+05,1.0274e+05,1.521e+05,1.4601e+05,47068,34057,0,54774,1.2129e+05,63657,74263,80234,1.1584e+05,1.4536e+05,2.1973e+05,2.3028e+05,2.3758e+05
2.6275e+05,2.4439e+05,2.3987e+05,2.122e+05,2.0552e+05,1.9819e+05,1.9686e+05,1.9078e+05,1.8854e+05,1.8307e+05,1.292e+05,1.1441e+05,1.1359e+05,1.224e+05,1.0389e+05,1.6822e+05,1.63e+05,82380,73612,54774,0,1.3428e+05,25063,43349,51769,97534,1.3542e+05,2.1708e+05,2.3074e+05,2.3885e+05
2.1688e+05,1.9586e+05,1.9074e+05,1.6259e+05,1.5634e+05,1.5323e+05,1.557e+05,1.5821e+05,1.5732e+05,1.546e+05,1.1803e+05,1.0026e+05,47022,29851,76597,1.0538e+05,1.0029e+05,99510,1.07e+05,1.2129e+05,1.3428e+05,0,1.3603e+05,1.3486e+05,1.3353e+05,1.3338e+05,1.3687e+05,1.5356e+05,1.6858e+05,1.8065e+05
2.6271e+05,2.4307e+05,2.3828e+05,2.0842e+05,2.0033e+05,1.9085e+05,1.8912e+05,1.8309e+05,1.808e+05,1.7526e+05,1.2253e+05,1.0893e+05,1.1311e+05,1.2346e+05,99590,1.6944e+05,1.6426e+05,86092,78822,63657,25063,1.3603e+05,0,24769,35976,84722,1.2509e+05,2.1194e+05,2.2657e+05,2.3522e+05
2.6215e+05,2.4164e+05,2.3664e+05,2.0401e+05,1.9454e+05,1.825e+05,1.8016e+05,1.7351e+05,1.711e+05,1.654e+05,1.1646e+05,1.0314e+05,1.1149e+05,1.2186e+05,94198,1.7073e+05,1.658e+05,93685,87396,74263,43349,1.3486e+05,24769,0,16324,66896,1.1069e+05,2.0559e+05,2.2155e+05,2.3131e+05
2.616e+05,2.4081e+05,2.3562e+05,2.0173e+05,1.916e+05,1.7805e+05,1.7518e+05,1.6843e+05,1.6597e+05,1.6013e+05,1.1349e+05,1.0011e+05,1.1017e+05,1.203e+05,91430,1.7135e+05,1.666e+05,98858,92896,80234,51769,1.3353e+05,35976,16324,0,55711,1.0143e+05,2.0188e+05,2.1871e+05,2.293e+05
2.5935e+05,2.3742e+05,2.3185e+05,1.9366e+05,1.8143e+05,1.6185e+05,1.5718e+05,1.5023e+05,1.4813e+05,1.4344e+05,1.1164e+05,1.0106e+05,1.0967e+05,1.192e+05,95322,1.7802e+05,1.74e+05,1.2584e+05,1.223e+05,1.1584e+05,97534,1.3338e+05,84722,66896,55711,0,57729,1.8802e+05,2.0924e+05,2.2322e+05
2.4812e+05,2.2398e+05,2.1789e+05,1.7793e+05,1.6575e+05,1.4673e+05,1.4082e+05,1.3495e+05,1.3342e+05,1.298e+05,1.0792e+05,1.0355e+05,1.1859e+05,1.2563e+05,1.0517e+05,1.801e+05,1.764e+05,1.4604e+05,1.4519e+05,1.4536e+05,1.3542e+05,1.3687e+05,1.2509e+05,1.1069e+05,1.0143e+05,57729,0,1.6869e+05,1.9218e+05,2.0856e+05
1.8038e+05,1.5087e+05,1.4392e+05,1.128e+05,1.0947e+05,1.1594e+05,1.2411e+05,1.3359e+05,1.3342e+05,1.3245e+05,1.2999e+05,1.3284e+05,1.5781e+05,1.5804e+05,1.4342e+05,1.6455e+05,1.623e+05,2.0369e+05,2.0983e+05,2.1973e+05,2.1708e+05,1.5356e+05,2.1194e+05,2.0559e+05,2.0188e+05,1.8802e+05,1.6869e+05,0,57665,94974
1.581e+05,1.326e+05,1.2836e+05,1.1973e+05,1.2222e+05,1.372e+05,1.4716e+05,1.5899e+05,1.5894e+05,1.5781e+05,1.5029e+05,1.5251e+05,1.7384e+05,1.7375e+05,1.6161e+05,1.5658e+05,1.5471e+05,2.1335e+05,2.1962e+05,2.3028e+05,2.3074e+05,1.6858e+05,2.2657e+05,2.2155e+05,2.1871e+05,2.0924e+05,1.9218e+05,57665,0,52046
1.3951e+05,1.2536e+05,1.2425e+05,1.2884e+05,1.3521e+05,1.5362e+05,1.6377e+05,1.7552e+05,1.7548e+05,1.7422e+05,1.6492e+05,1.6642e+05,1.8605e+05,1.8602e+05,1.7446e+05,1.4947e+05,1.4977e+05,2.1974e+05,2.263e+05,2.3758e+05,2.3885e+05,1.8065e+05,2.3522e+05,2.3131e+05,2.293e+05,2.2322e+05,2.0856e+05,94974,52046,0
