0,14,15,21,27,37,44,48,54,55,57,58,60,63,67,70,72,75,77,80,81,87,90,96,103,105,114,129,151,167,174
0,1.3219e+05,1.3761e+05,1.6376e+05,1.7518e+05,1.7098e+05,1.7286e+05,1.7619e+05,1.8383e+05,1.8539e+05,1.8809e+05,1.8921e+05,1.9103e+05,1.9231e+05,1.9181e+05,1.9073e+05,1.8989e+05,1.8894e+05,1.8907e+05,1.9066e+05,1.9184e+05,2.2901e+05,1.9228e+05,2.0587e+05,1.9249e+05,2.2211e+05,2.3804e+05,2.3763e+05,2.0717e+05,1.4004e+05,1.2529e+05
1.3219e+05,0,10652,55965,73275,87490,1.0348e+05,1.1402e+05,1.3468e+05,1.3839e+05,1.4416e+05,1.4626e+05,1.4919e+05,1.5152e+05,1.5212e+05,1.5325e+05,1.5492e+05,1.5929e+05,1.6379e+05,1.7292e+05,1.7663e+05,2.0652e+05,1.8298e+05,1.8577e+05,1.8059e+05,2.0036e+05,2.095e+05,1.9116e+05,1.4017e+05,1.1523e+05,1.4916e+05
1.3761e+05,10652,0,48255,66980,84017,1.0155e+05,1.1241e+05,1.3349e+05,1.3732e+05,1.433e+05,1.4544e+05,1.4845e+05,1.5078e+05,1.5163e+05,1.5291e+05,1.5473e+05,1.5935e+05,1.6409e+05,1.7355e+05,1.7734e+05,2.0653e+05,1.839e+05,1.8634e+05,1.8144e+05,2.0056e+05,2.0898e+05,1.8947e+05,1.3715e+05,1.1693e+05,1.5246e+05
1.6376e+05,55965,48255,0,33304,75845,1.0061e+05,1.1192e+05,1.3264e+05,1.3656e+05,1.4324e+05,1.4584e+05,1.4953e+05,1.5259e+05,1.5482e+05,1.5677e+05,1.5918e+05,1.6468e+05,1.7018e+05,1.8078e+05,1.8474e+05,2.0747e+05,1.902e+05,1.9064e+05,1.8723e+05,2.0287e+05,2.0712e+05,1.8455e+05,1.2621e+05,1.3317e+05,1.7238e+05
1.7518e+05,73275,66980,33304,0,64295,92735,1.0501e+05,1.276e+05,1.3192e+05,1.3941e+05,1.4262e+05,1.4804e+05,1.5295e+05,1.5578e+05,1.5733e+05,1.5934e+05,1.6484e+05,1.7049e+05,1.8094e+05,1.8479e+05,2.0096e+05,1.8845e+05,1.8604e+05,1.8479e+05,1.9732e+05,1.9985e+05,1.763e+05,1.224e+05,1.4056e+05,1.8089e+05
1.7098e+05,87490,84017,75845,64295,0,45198,65804,1.0005e+05,1.056e+05,1.1495e+05,1.1878e+05,1.2533e+05,1.326e+05,1.3757e+05,1.3947e+05,1.4121e+05,1.4565e+05,1.5057e+05,1.6018e+05,1.6379e+05,1.6752e+05,1.6134e+05,1.5258e+05,1.5564e+05,1.6298e+05,1.6895e+05,1.4469e+05,1.1002e+05,1.3577e+05,1.724e+05
1.7286e+05,1.0348e+05,1.0155e+05,1.0061e+05,92735,45198,0,30483,71611,77944,88233,92249,98920,1.0664e+05,1.1447e+05,1.18e+05,1.1987e+05,1.24e+05,1.2884e+05,1.3877e+05,1.4254e+05,1.3675e+05,1.3736e+05,1.235e+05,1.3012e+05,1.3193e+05,1.4069e+05,1.1974e+05,1.0269e+05,1.3543e+05,1.6981e+05
1.7619e+05,1.1402e+05,1.1241e+05,1.1192e+05,1.0501e+05,65804,30483,0,48512,55358,66190,70355,77518,86906,95827,1.0023e+05,1.0285e+05,1.0822e+05,1.1401e+05,1.2517e+05,1.2934e+05,1.1931e+05,1.2368e+05,1.076e+05,1.1557e+05,1.154e+05,1.2325e+05,1.0643e+05,1.0135e+05,1.3821e+05,1.7117e+05
1.8383e+05,1.3468e+05,1.3349e+05,1.3264e+05,1.276e+05,1.0005e+05,71611,48512,0,10344,24026,29869,40928,54779,68575,76599,81375,89572,96924,1.1028e+05,1.151e+05,1.0076e+05,1.09e+05,90045,99667,97302,1.0484e+05,97278,1.0813e+05,1.4839e+05,1.7881e+05
1.8539e+05,1.3839e+05,1.3732e+05,1.3656e+05,1.3192e+05,1.056e+05,77944,55358,10344,0,16978,23847,36079,50982,65691,74308,79356,87912,95453,1.0897e+05,1.1382e+05,99372,1.078e+05,88461,98287,95891,1.0386e+05,97760,1.1017e+05,1.5074e+05,1.8066e+05
1.8809e+05,1.4416e+05,1.433e+05,1.4324e+05,1.3941e+05,1.1495e+05,88233,66190,24026,16978,0,9640.7,25342,42639,59328,69225,74961,84197,92113,1.0602e+05,1.1098e+05,96658,1.0534e+05,85733,95834,92901,1.0227e+05,99334,1.1356e+05,1.5485e+05,1.8398e+05
1.8921e+05,1.4626e+05,1.4544e+05,1.4584e+05,1.4262e+05,1.1878e+05,92249,70355,29869,23847,9640.7,0,18320,37719,55567,66319,72472,82098,90163,1.0432e+05,1.0937e+05,95477,1.0397e+05,84310,94498,91540,1.0168e+05,1.0032e+05,1.1477e+05,1.5653e+05,1.8537e+05
1.9103e+05,1.4919e+05,1.4845e+05,1.4953e+05,1.4804e+05,1.2533e+05,98920,77518,40928,36079,25342,18320,0,25470,46934,59639,66781,77260,85789,1.0065e+05,1.0595e+05,94916,1.0118e+05,81777,91640,89867,1.0209e+05,1.0406e+05,1.1669e+05,1.5932e+05,1.8776e+05
1.9231e+05,1.5152e+05,1.5078e+05,1.5259e+05,1.5295e+05,1.326e+05,1.0664e+05,86906,54779,50982,42639,37719,25470,0,30641,47061,56066,68169,77787,94335,1.0013e+05,98358,97496,80672,88361,91073,1.0693e+05,1.1272e+05,1.1949e+05,1.6201e+05,1.9017e+05
1.9181e+05,1.5212e+05,1.5163e+05,1.5482e+05,1.5578e+05,1.3757e+05,1.1447e+05,95827,68575,65691,59328,55567,46934,30641,0,23079,35373,51176,63077,82993,89774,1.0857e+05,92042,83497,84284,99693,1.1798e+05,1.2657e+05,1.2612e+05,1.6157e+05,1.8939e+05
1.9073e+05,1.5325e+05,1.5291e+05,1.5677e+05,1.5733e+05,1.3947e+05,1.18e+05,1.0023e+05,76599,74308,69225,66319,59639,47061,23079,0,15498,35362,49337,72334,79974,1.1658e+05,85958,85157,79110,1.07e+05,1.2619e+05,1.3599e+05,1.3313e+05,1.5759e+05,1.8491e+05
1.8989e+05,1.5492e+05,1.5473e+05,1.5918e+05,1.5934e+05,1.4121e+05,1.1987e+05,1.0285e+05,81375,79356,74961,72472,66781,56066,35373,15498,0,23383,38827,63723,71975,1.2117e+05,80367,86639,74336,1.114e+05,1.311e+05,1.4158e+05,1.3813e+05,1.5296e+05,1.8026e+05
1.8894e+05,1.5929e+05,1.5935e+05,1.6468e+05,1.6484e+05,1.4565e+05,1.24e+05,1.0822e+05,89572,87912,84197,82098,77260,68169,51176,35362,23383,0,18628,46945,56294,1.2732e+05,68372,89848,64688,1.1716e+05,1.3821e+05,1.4906e+05,1.4565e+05,1.4559e+05,1.7159e+05
1.8907e+05,1.6379e+05,1.6409e+05,1.7018e+05,1.7049e+05,1.5057e+05,1.2884e+05,1.1401e+05,96924,95453,92113,90163,85789,77787,63077,49337,38827,18628,0,32055,42560,1.3201e+05,58552,93183,58129,1.2153e+05,1.4352e+05,1.5411e+05,1.5122e+05,1.433e+05,1.6549e+05
1.9066e+05,1.7292e+05,1.7355e+05,1.8078e+05,1.8094e+05,1.6018e+05,1.3877e+05,1.2517e+05,1.1028e+05,1.0897e+05,1.0602e+05,1.0432e+05,1.0065e+05,94335,82993,72334,63723,46945,32055,0,13359,1.3934e+05,42921,99829,54167,1.2864e+05,1.5176e+05,1.6156e+05,1.6089e+05,1.4628e+05,1.5637e+05
1.9184e+05,1.7663e+05,1.7734e+05,1.8474e+05,1.8479e+05,1.6379e+05,1.4254e+05,1.2934e+05,1.151e+05,1.1382e+05,1.1098e+05,1.0937e+05,1.0595e+05,1.0013e+05,89774,79974,71975,56294,42560,13359,0,1.4174e+05,41072,1.0249e+05,55975,1.3102e+05,1.5438e+05,1.6404e+05,1.645e+05,1.4892e+05,1.5361e+05
2.2901e+05,2.0652e+05,2.0653e+05,2.0747e+05,2.0096e+05,1.6752e+05,1.3675e+05,1.1931e+05,1.0076e+05,99372,96658,95477,94916,98358,1.0857e+05,1.1658e+05,1.2117e+05,1.2732e+05,1.3201e+05,1.3934e+05,1.4174e+05,0,1.2047e+05,62620,1.0694e+05,22233,35067,73902,1.5623e+05,2.1961e+05,2.366e+05
1.9228e+05,1.8298e+05,1.839e+05,1.902e+05,1.8845e+05,1.6134e+05,1.3736e+05,1.2368e+05,1.09e+05,1.078e+05,1.0534e+05,1.0397e+05,1.0118e+05,97496,92042,85958,80367,68372,58552,42921,41072,1.2047e+05,0,76840,23777,1.0817e+05,1.3668e+05,1.4967e+05,1.6396e+05,1.5838e+05,1.6328e+05
2.0587e+05,1.8577e+05,1.8634e+05,1.9064e+05,1.8604e+05,1.5258e+05,1.235e+05,1.076e+05,90045,88461,85733,84310,81777,80672,83497,85157,86639,89848,93183,99829,1.0249e+05,62620,76840,0,59567,45873,86144,1.056e+05,1.5257e+05,1.9044e+05,2.0593e+05
1.9249e+05,1.8059e+05,1.8144e+05,1.8723e+05,1.8479e+05,1.5564e+05,1.3012e+05,1.1557e+05,99667,98287,95834,94498,91640,88361,84284,79110,74336,64688,58129,54167,55975,1.0694e+05,23777,59567,0,93796,1.2464e+05,1.3924e+05,1.5896e+05,1.6048e+05,1.7215e+05
2.2211e+05,2.0036e+05,2.0056e+05,2.0287e+05,1.9732e+05,1.6298e+05,1.3193e+05,1.154e+05,97302,95891,92901,91540,89867,91073,99693,1.07e+05,1.114e+05,1.1716e+05,1.2153e+05,1.2864e+05,1.3102e+05,22233,1.0817e+05,45873,93796,0,51573,83053,1.5402e+05,2.1278e+05,2.2894e+05
2.3804e+05,2.095e+05,2.0898e+05,2.0712e+05,1.9985e+05,1.6895e+05,1.4069e+05,1.2325e+05,1.0484e+05,1.0386e+05,1.0227e+05,1.0168e+05,1.0209e+05,1.0693e+05,1.1798e+05,1.2619e+05,1.311e+05,1.3821e+05,1.4352e+05,1.5176e+05,1.5438e+05,35067,1.3668e+05,86144,1.2464e+05,51573,0,58287,1.5898e+05,2.2557e+05,2.4392e+05
2.3763e+05,1.9116e+05,1.8947e+05,1.8455e+05,1.763e+05,1.4469e+05,1.1974e+05,1.0643e+05,97278,97760,99334,1.0032e+05,1.0406e+05,1.1272e+05,1.2657e+05,1.3599e+05,1.4158e+05,1.4906e+05,1.5411e+05,1.6156e+05,1.6404e+05,73902,1.4967e+05,1.056e+05,1.3924e+05,83053,58287,0,1.3361e+05,2.1352e+05,2.3649e+05
2.0717e+05,1.4017e+05,1.3715e+05,1.2621e+05,1.224e+05,1.1002e+05,1.0269e+05,1.0135e+05,1.0813e+05,1.1017e+05,1.1356e+05,1.1477e+05,1.1669e+05,1.1949e+05,1.2612e+05,1.3313e+05,1.3813e+05,1.4565e+05,1.5122e+05,1.6089e+05,1.645e+05,1.5623e+05,1.6396e+05,1.5257e+05,1.5896e+05,1.5402e+05,1.5898e+05,1.3361e+05,0,1.607e+05,2.023e+05
1.4004e+05,1.1523e+05,1.1693e+05,1.3317e+05,1.4056e+05,1.3577e+05,1.3543e+05,1.3821e+05,1.4839e+05,1.5074e+05,1.5485e+05,1.5653e+05,1.5932e+05,1.6201e+05,1.6157e+05,1.5759e+05,1.5296e+05,1.4559e+05,1.433e+05,1.4628e+05,1.4892e+05,2.1961e+05,1.5838e+05,1.9044e+05,1.6048e+05,2.1278e+05,2.2557e+05,2.1352e+05,1.607e+05,0,98383
1.2529e+05,1.4916e+05,1.5246e+05,1.7238e+05,1.8089e+05,1.724e+05,1.6981e+05,1.7117e+05,1.7881e+05,1.8066e+05,1.8398e+05,1.8537e+05,1.8776e+05,1.9017e+05,1.8939e+05,1.8491e+05,1.8026e+05,1.7159e+05,1.6549e+05,1.5637e+05,1.5361e+05,2.366e+05,1.6328e+05,2.0593e+05,1.7215e+05,2.2894e+05,2.4392e+05,2.3649e+05,2.023e+05,98383,0
